alpha,beta,P_sys,P_ser,P_p,P_f,BC_av,L_f,L_o
0.1,0,0,0.2168,0.0016,0.3659,1.3512,4.4583,0.168
0.1,0.1,0,0.2169,0.0054,0.266,1.351,4.272,0.168
0.1,0.2,0.0006,0.218,0.0128,0.1674,1.3459,3.8819,0.164
0.1,0.3,0.0101,0.229,0.0228,0.0795,1.3044,3.0497,0.145
0.1,0.4,0.0563,0.2704,0.0267,0.0239,1.1711,1.8505,0.1
0.1,0.5,0.1455,0.3364,0.0208,0.0044,0.9872,0.9478,0.055
0.1,0.6,0.2469,0.4013,0.0131,0.0005,0.8308,0.4937,0.028
0.1,0.7,0.343,0.4567,0.0075,0,0.7134,0.269,0.015
0.1,0.8,0.4297,0.5032,0.0039,0,0.6246,0.1412,0.008
0.1,0.9,0.507,0.5426,0.0016,0,0.5553,0.0585,0.005
0.5,0,0,0.2213,0.0085,0.3545,1.3346,4.4491,0.082
0.5,0.1,0,0.2214,0.029,0.2546,1.3344,4.2522,0.081
0.5,0.2,0.0008,0.2227,0.0685,0.1565,1.3286,3.8311,0.08
0.5,0.3,0.0118,0.2348,0.1189,0.0714,1.2835,2.951,0.07
0.5,0.4,0.0609,0.2768,0.1333,0.0206,1.1497,1.7653,0.048
0.5,0.5,0.1501,0.3409,0.102,0.0037,0.9737,0.9144,0.027
0.5,0.6,0.2501,0.4037,0.0644,0.0005,0.824,0.4845,0.014
0.5,0.7,0.345,0.4579,0.037,0,0.7101,0.2666,0.008
0.5,0.8,0.431,0.5039,0.0192,0,0.6229,0.1406,0.004
0.5,0.9,0.5079,0.543,0.0081,0,0.5545,0.0584,0.002
0.9,0,0,0.2255,0.0159,0.3437,1.3193,4.4402,0.014
0.9,0.1,0,0.2256,0.0556,0.2438,1.319,4.2318,0.014
0.9,0.2,0.001,0.227,0.1314,0.1463,1.3123,3.7777,0.014
0.9,0.3,0.0137,0.2401,0.2215,0.0641,1.2639,2.8541,0.012
0.9,0.4,0.0652,0.2826,0.2395,0.0179,1.1304,1.6888,0.008
0.9,0.5,0.1543,0.3448,0.1806,0.0032,0.9617,0.8852,0.005
0.9,0.6,0.253,0.4059,0.114,0.0004,0.8179,0.4763,0.003
0.9,0.7,0.3469,0.4591,0.0657,0,0.7071,0.2645,0.001
0.9,0.8,0.4323,0.5045,0.0343,0,0.6214,0.1401,0.001
0.9,0.9,0.5087,0.5434,0.0144,0,0.5537,0.0583,0
