"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"1",25,35,30,20,10,10,0.7,1,1,0.335295677459664,0.0343472484760165,2.60696035022404,3.6322934038639,8.30605969632491,0.157744965240721,0.140301364791344,27.4799811813918
"2",25,35,30,20,10,10,0.7,1,2,0.335667489963535,0.0343172497441121,2.58284855556834,3.62912097518751,8.31456469381725,0.157818160940119,0.140183180973216,27.4916341649093
"3",25,35,30,20,10,10,0.7,1,3,0.336371123152182,0.0342714048420878,2.54600023587462,3.6242727808601,8.32915381648402,0.157927628352172,0.140002554445163,27.5189214155287
"4",25,35,30,20,10,10,0.7,1,4,0.337585027917428,0.0342004161638947,2.48894234299687,3.61676557958516,8.35147475685041,0.158061197654496,0.139722827663844,27.5698725569061
"5",25,35,30,20,10,10,0.7,1,5,0.339597053019899,0.0340893772375489,2.39969364410616,3.60502298075604,8.38342308218454,0.158183923121591,0.139285199696601,27.6574802506741
"6",25,35,30,20,10,10,0.7,1,6,0.34287754994493,0.0339140124120776,2.25874233072829,3.58647778348139,8.42689611825453,0.158214360673913,0.13859383725667,27.8030091506295
"7",25,35,30,20,10,10,0.7,1,7,0.348212394129376,0.0336338359999426,2.03354760788807,3.55684854158077,8.4831909042318,0.157978248274649,0.137488723242264,28.0420168489205
"8",25,35,30,20,10,10,0.7,1,8,0.356962356334198,0.0331788151600905,1.66781984681011,3.50872913555705,8.55165358000792,0.157115290500986,0.135692546404863,28.4360938443893
"9",25,35,30,20,10,10,0.7,1,9,0.371618989376562,0.0324207875924239,1.05854725778272,3.42856613397323,8.62663361587821,0.154880364280676,0.132696372783884,29.0980254884874
"10",25,35,30,20,10,10,0.7,1,10,0.371583683062411,0.0311037941521673,2.89821867386268,3.2892913216308,8.69004945795227,0.15602768212491,0.127479275258252,29.9131927418184
"11",25,35,30,20,10,10,0.7,2,1,0.314103757745305,0.0399256977183138,4.05839046216297,4.12114919057204,8.26166717820895,0.161904184922642,0.158264377349488,27.1540515032556
