"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_h","PB_l","RJ","N_h","N_l","W_l","W_h"
"1",30,15,35,10,35,20,0.5,5,1,0.00943957253410321,0.138811795461586,2.91887039889581,6.64232291673687,30.2331924269119,1.73576458023978,0.219320740925647
"2",30,15,35,10,35,20,0.5,5,2,0.00943892344182437,0.138824387790799,2.91814894861915,6.6419519631791,30.2358806056321,1.7358935327493,0.219308636236479
"3",30,15,35,10,35,20,0.5,5,3,0.00943821590506115,0.138843659787899,2.91736253871996,6.64154760883978,30.2399026815581,1.73608559477471,0.219295441618794
"4",30,15,35,10,35,20,0.5,5,4,0.0094374227234285,0.13887021606528,2.91648093663198,6.64109430881114,30.2453069992496,1.73634231208687,0.219280649815758
"5",30,15,35,10,35,20,0.5,5,5,0.00943651391228482,0.138904942909354,2.91547081515556,6.64057492699429,30.2521805913495,1.73666687822831,0.219263701643671
"6",30,15,35,10,35,20,0.5,5,6,0.00943545553522497,0.138949037804492,2.914294454802,6.6399700688738,30.2606483946216,1.73706402778993,0.21924396421779
"7",30,15,35,10,35,20,0.5,5,7,0.00943420839595496,0.139004051414974,2.91290828984409,6.63925733392944,30.2708733895761,1.73753995657035,0.219220706554893
"8",30,15,35,10,35,20,0.5,5,8,0.00943272653425829,0.139071943672159,2.91126123661933,6.63841045608723,30.2830575219711,1.73810225680365,0.219193071521093
"9",30,15,35,10,35,20,0.5,5,9,0.00943095546159293,0.139155156282072,2.90929273243887,6.63739829537033,30.2974432801885,1.73875985503911,0.219160042922195
"10",30,15,35,10,35,20,0.5,5,10,0.0094288300589735,0.139256704776766,2.90693039913468,6.63618363654744,30.3143158095344,1.73952293882243,0.219120406293276
"11",30,15,35,10,35,20,0.5,5,11,0.00942627204213569,0.139380294242525,2.90408722565151,6.63472174048466,30.3340054433005,1.74040285593726,0.219072701614499
"12",30,15,35,10,35,20,0.5,5,12,0.00942318687499814,0.139530464152694,2.90065813743482,6.63295858020177,30.3568905210038,1.74141196642504,0.219015165732214
"13",30,15,35,10,35,20,0.5,5,13,0.00941945997987008,0.139712769430001,2.89651578416879,6.63082867502149,30.3834003463235,1.74256342261588,0.218945661656125
"14",30,15,35,10,35,20,0.5,5,14,0.00941495204839045,0.139934007130446,2.89150532799923,6.62825241079057,30.4140181102594,1.74387084554352,0.218861591072612
"15",30,15,35,10,35,20,0.5,5,15,0.00940949319594178,0.140202501223106,2.88543794630682,6.62513269915145,30.4492835679079,1.74534785674904,0.218759785269886
"16",30,15,35,10,35,20,0.5,5,16,0.00940287561696807,0.140528462200279,2.87808266827161,6.62135078008673,30.4897952083996,1.74700741166412,0.218636368076175
"17",30,15,35,10,35,20,0.5,5,17,0.00939484427822075,0.140924444237086,2.86915603064233,6.6167609031477,30.536211594474,1.74886086309445,0.218486582161213
"18",30,15,35,10,35,20,0.5,5,18,0.00938508501455251,0.141405931165764,2.85830884650082,6.61118352424959,30.5892514669992,1.75091665864296,0.21830456682759
"19",30,15,35,10,35,20,0.5,5,19,0.00937320914111721,0.141992094941021,2.84510910209661,6.60439651160742,30.6496921041586,1.75317854086613,0.218083070728442
"20",30,15,35,10,35,20,0.5,5,20,0.00935873332487788,0.142706788616787,2.82901958451777,6.59612364238586,30.7183652845672,1.75564306821662,0.217813076007962
