"","si","lambda_1","lambda_2","mu","alpha","c_l_1","c_l_2","c_r_1","c_r_2","c_r","c_h","S","s","PB1","PB2","Sav","RR","RV","TC","PT"
"1",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,1,0.139228886168911,0.168298653610771,0.831701346389229,3.36597307221542,1878.59547123623,220.086780905753,1658.50869033048
"2",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,1,0.122586439155815,0.148181409968567,0.851818590031432,2.96362819937135,1922.99057027391,193.803053435114,1729.1875168388
"3",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,1,0.161099964593414,0.194736220937094,0.805263779062906,3.89472441874188,1820.25256697746,254.628183642157,1565.6243833353
"4",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,2,0.157788899364131,0.165486530399374,0.834513469600626,3.30973060798748,1879.57971436022,218.501305839167,1661.07840852105
"5",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,2,0.139274749387293,0.145987984746467,0.854012015253533,2.91975969492935,1923.20534316024,192.787570671456,1730.41777248879
"6",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,2,0.182011019921518,0.190996538911204,0.809003461088796,3.81993077822408,1822.50416719721,252.142666311683,1570.36150088553
"7",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,3,0.175590481264429,0.162789321020541,0.837210678979459,3.25578642041082,1880.52373764281,216.980619191381,1663.54311845143
"8",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,3,0.155408288715609,0.143867475743841,0.856132524256159,2.87734951487682,1923.41297633342,191.805845686873,1731.60713064654
"9",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,3,0.201885481813425,0.187442238721891,0.812557761278109,3.74884477443782,1824.64415210286,249.780359929193,1574.86379217367
"10",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,4,0.192677385529535,0.160200396131889,0.839799603868111,3.20400792263777,1881.42986135384,215.520983339159,1665.90887801468
"11",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,4,0.171012756912859,0.141816505115506,0.858183494884494,2.83633010231012,1923.61380054077,190.856314651642,1732.75748588913
"12",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,4,0.220795416665573,0.184060432190956,0.815939567809044,3.68120864381911,1826.6802814517,247.532698581849,1579.14758286985
"13",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,5,0.209090040145288,0.157713630281017,0.842286369718983,3.15427260562034,1882.30022940164,214.118944752437,1668.18128464921
"14",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,5,0.186112274299843,0.139831902611192,0.860168097388808,2.79663805222385,1923.80812620265,189.937509845562,1733.87061635709
"15",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,5,0.23880633099091,0.180839404293727,0.819160595706273,3.61678808587454,1828.61960866482,245.391896073754,1583.22771259106
"16",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,6,0.224865857102513,0.155323354984468,0.844676645015532,3.10646709968935,1883.13682575544,212.771307540243,1670.36551821519
"17",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,6,0.200729500841968,0.137910689922195,0.862089310077805,2.75821379844389,1923.99624494512,189.048052410979,1734.94819253414
"18",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,6,0.255977900937642,0.177768482693715,0.822231517306285,3.55536965387431,1830.46855937816,243.350859214333,1587.11770016383
"19",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,7,0.240039508096378,0.153024316955094,0.846975683044906,3.06048633910189,1883.94148906572,211.475109899282,1672.46637916643
"20",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,7,0.214885744620687,0.136050066424444,0.863949933575556,2.72100132848888,1924.17843099594,188.186645752303,1735.99178524364
"21",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,7,0.272364606571039,0.174837924309203,0.825162075690797,3.49675848618406,1832.23299973883,241.403112426707,1590.82988731213
"22",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,8,0.254643170517695,0.150811640830652,0.849188359169348,3.01623281661304,1884.71592570927,210.227603100322,1674.48832260895
"23",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,8,0.2286010607698,0.134247396174834,0.865752603825166,2.68494792349669,1924.35494245788,187.352069515742,1737.00287294214
"24",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,8,0.288016285114625,0.172038816372943,0.827961183627057,3.44077632745887,1833.91829597546,239.542731988671,1594.37556398679
"25",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,9,0.268706747404844,0.148680795847751,0.851319204152249,2.97361591695502,1885.46172145329,209.026232698962,1676.43548875433
"26",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,9,0.241894341840113,0.132500196034158,0.867499803965842,2.65000392068316,1924.52602247166,186.543174090614,1737.98284838104
"27",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,9,0.302978614979054,0.169362989869618,0.830637010130382,3.38725979739235,1835.529366516,237.764288500344,1597.76507801566
"28",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,10,0.282258064516129,0.146627565982405,0.853372434017595,2.93255131964809,1886.18035190616,207.86862170088,1678.31173020528
"29",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,10,0.25478340044628,0.130806124804432,0.869193875195568,2.61612249608864,1924.69190027957,185.758875580292,1738.93302469927
"30",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,10,0.317293540474244,0.166802943581357,0.833197056418643,3.33605887162715,1837.07072771872,236.062796402289,1601.00793131644
"31",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,11,0.295323047251688,0.144648023143684,0.855351976856316,2.89296046287367,1886.87319189971,206.752555448409,1680.1206364513
"32",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,11,0.26728504495378,0.129162973280993,0.870837026719007,2.58325946561985,1924.85279219957,184.998151196657,1739.85464100291
"33",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,11,0.330999645515775,0.164351777255003,0.835648222744997,3.28703554510006,1838.54653411105,234.43366955625,1604.1128645548
"34",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,12,0.307925879788228,0.14273850306239,0.85726149693761,2.85477006124779,1887.54152392816,205.675968026575,1681.86555590159
"35",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,12,0.279415148880124,0.127568655130761,0.872431344869239,2.55137310261522,1925.00890251845,184.260035037038,1740.74886748141
"36",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,12,0.34413248333187,0.162003132638116,0.837996867361885,3.24006265276231,1839.9606138908,232.872682055713,1607.08793183509
"37",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,13,0.320089148478328,0.14089558356389,0.85910441643611,2.81791167127779,1888.18654575264,204.636930013321,1683.54961573932
"38",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,13,0.291188714610731,0.126021198517757,0.873978801482243,2.52042397035514,1925.1604243118,183.543614207104,1741.6168101047
"39",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,13,0.356724868098523,0.159751141323662,0.840248858676338,3.19502282647324,1841.31650032805,231.37593356175,1609.9405667663
"40",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,14,0.331833971299934,0.139116064954555,0.860883935045445,2.78232129909111,1888.80937726591,203.633637421378,1685.17573984453
"41",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,14,0.302619931965269,0.124518738405441,0.875481261594559,2.49037476810882,1925.3075401978,182.848025257105,1742.4595149407
"42",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,14,0.368807133534952,0.157590378503436,0.842409621496564,3.15180757006873,1842.61745960939,229.939818566001,1612.67764104339
"43",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,15,0.343180114913815,0.137396952285786,0.862603047714214,2.74793904571571,1889.41106669997,202.664401698726,1686.74666500125
"44",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,15,0.313722232093306,0.12305950947295,0.87694049052705,2.461190189459,1925.45042303077,182.172450902327,1743.27797212845
"45",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,15,0.380407362745506,0.155515821863695,0.844484178136305,3.1103164372739,1843.86651558623,228.560999071341,1615.30551651489
"46",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,16,0.354146100691017,0.13573543928924,0.86426456071076,2.7147087857848,1889.99259624877,201.727640671273,1688.26495557749
"47",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,16,0.324508337127865,0.12164183958889,0.87835816041111,2.43283679177779,1925.58923654025,181.516117001669,1744.07311953859
"48",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,16,0.391551592970242,0.153522814968064,0.846477185031936,3.07045629936128,1845.06647182131,227.236380254941,1617.83009156637
"49",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,17,0.364749300903947,0.134128893802432,0.865871106197568,2.68257787604864,1890.55488716915,200.821870325811,1689.73301684334
"50",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,17,0.334990305981136,0.120264143792183,0.879735856207817,2.40528287584367,1925.72413592035,180.878289770988,1744.84584614936
"51",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,17,0.402263998382858,0.151607034566404,0.848392965433596,3.03214069132808,1846.21993127148,225.963088740651,1620.25684253083
"52",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,18,0.375006026129297,0.132574844525864,0.867425155474136,2.65149689051728,1891.09880441595,199.945697343682,1691.15310707227
"53",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,18,0.345179576627289,0.118924918734639,0.881075081265361,2.37849837469278,1925.8552683739,180.25827321018,1745.59699516372
"54",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,18,0.412567053633831,0.149764461347154,0.850235538652846,2.99528922694308,1847.32931389723,224.73845316003,1622.5908607372
"55",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,19,0.384931604785282,0.131070968971927,0.868929031028073,2.62141937943854,1891.62516085983,199.097812306372,1692.52734855345
"56",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,19,0.355087005182529,0.117622737544465,0.882377262455535,2.3524547508893,1925.98277361544,179.655406725169,1746.32736689027
"57",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,19,0.422481680464244,0.147991353717274,0.852008646282726,2.95982707434547,1848.39687244939,223.559986725624,1624.83688572377
"58",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,20,0.394540455616654,0.129615082482325,0.870384917517675,2.5923016496465,1892.13472113119,198.276983503535,1693.85773762765
"59",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,20,0.364722902061642,0.116356245074045,0.883643754925955,2.3271249014809,1926.1067843365,179.06906292778,1747.03772140872
"60",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,20,0.432027379400261,0.146284224250326,0.853715775749674,2.92568448500652,1849.42470664928,222.425371577575,1626.99933507171
"61",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,21,0.403846153846154,0.128205128205128,0.871794871794872,2.56410256410256,1892.62820512821,197.482051282051,1695.14615384615
