"","lambda_h","lambda_l","lambda_tilda","mu","mu_f","mu_s","alpha","r_h","r_l","gamma","piSum","RJ","N_h","N_l"
"1",45,15,10.4768258526471,0.75,60,15,0.5,5,1,0.698455056843139,0.108645208268172,4.03175295008054,3.52284467409339,0.510638862338496
"2",45,15,10.4768258526471,0.75,60,15,0.5,5,2,0.698455056843139,0.183429713392043,3.69348960988166,3.47897810090245,0.755699056718123
"3",45,15,10.4768258526471,0.75,60,15,0.5,5,3,0.698455056843139,0.2709987960407,3.29739939913785,3.42761243943411,1.17802801953367
"4",45,15,10.4768258526471,0.75,60,15,0.5,5,4,0.698455056843139,0.36803073674837,2.85850703346144,3.37069612071459,1.86782961897901
"5",45,15,10.4768258526471,0.75,60,15,0.5,5,5,0.698455056843139,0.46918636977813,2.40096248928211,3.31136095532671,2.91347051731575
"6",45,15,10.4768258526471,0.75,60,15,0.5,5,6,0.698455056843139,0.568152401919908,1.95332189123232,3.25331015074931,4.38237733139405
"7",45,15,10.4768258526471,0.75,60,15,0.5,5,7,0.698455056843139,0.659139911590021,1.54176953976044,3.19993933221151,6.30767246416917
"8",45,15,10.4768258526471,0.75,60,15,0.5,5,8,0.698455056843139,0.738133626459347,1.18446721086014,3.15360375013873,8.68697893607026
"9",45,15,10.4768258526471,0.75,60,15,0.5,5,9,0.698455056843139,0.803374273545258,0.889372402604573,3.11533534660142,11.4923302198599
"10",45,15,10.4768258526471,0.75,60,15,0.5,5,10,0.698455056843139,0.855070325470423,0.655542157016454,3.08501183718324,14.6844437193743
"11",45,15,10.4768258526471,0.75,60,15,0.5,5,11,0.698455056843139,0.894705730903021,0.476264315843877,3.06176277762897,18.2247081697964
"12",45,15,10.4768258526471,0.75,60,15,0.5,5,12,0.698455056843139,0.924333118423945,0.342254482555624,3.04438415138828,22.0819591675927
"13",45,15,10.4768258526471,0.75,60,15,0.5,5,13,0.698455056843139,0.946062271900023,0.243969737308768,3.03163841616202,26.2345186686977
"14",45,15,10.4768258526471,0.75,60,15,0.5,5,14,0.698455056843139,0.961777420655993,0.172887382733956,3.0224203338605,30.6693555480235
"15",45,15,10.4768258526471,0.75,60,15,0.5,5,15,0.698455056843139,0.973028468800547,0.121996932635887,3.01582077254642,35.3800833352247
"16",45,15,10.4768258526471,0.75,60,15,0.5,5,16,0.698455056843139,0.981025190093485,0.0858263696200846,3.01113011156922,40.3648502545464
